pickup_datetime,NumberOfPassengers,pickup_x,pickup_y,dropoff_x,dropoff_y
3/7/1934 8:18,1,161.6215557,378.3926802,154.5766309,357.1002292
5/25/1934 22:17,6,155.8618109,378.8143687,152.0962613,371.9373846
2/20/1934 11:44,1,149.1343965,358.1666719,154.2281039,350.9946664
4/20/1934 20:37,1,151.3837787,311.2953336,143.7099977,322.6947723
6/14/1934 11:30,1,148.3653032,336.8048903,144.5651962,303.796307
1/28/1934 19:00,1,154.9747083,342.5402495,152.1030708,332.0125688
3/21/1934 21:53,1,136.5464438,288.7432953,159.2916904,311.6545291
3/26/1934 1:30,1,146.8652469,315.1210727,108.5054597,374.0661955
6/10/1934 21:40,1,152.2111566,330.0491019,157.3090088,338.7519029
5/25/1934 14:36,4,155.4405147,373.9496156,160.7042495,390.8636356
5/3/1934 21:57,1,97.95506243,303.861271,84.02971054,294.6121865
3/9/1934 18:57,6,158.0372966,326.8647058,159.3773912,309.0905664
7/9/1934 20:59,1,146.2175992,305.0859043,138.0647897,312.1870559
6/27/1934 13:54,2,146.6725449,320.0990644,-59.69691226,415.0797616
3/6/1934 6:40,1,143.4614946,322.9789162,147.7918589,343.3273693
6/23/1934 9:14,1,163.3606542,379.5203117,153.2340701,359.400562
3/11/1934 0:36,1,110.4126171,331.5523483,73.94344877,308.488598
5/17/1934 8:59,1,171.9125419,400.6217857,171.3065486,399.9890922
6/13/1934 21:16,1,153.63123,366.675326,154.5453568,357.1943516
4/14/1934 17:26,3,149.4148046,318.2876198,145.6633061,301.3643486
3/4/1934 4:56,1,170.928191,399.8469749,187.1819835,461.5546438
3/9/1934 17:16,1,158.1912567,326.9783232,152.7042725,355.3816315
5/14/1934 11:45,1,142.8466435,354.0149877,161.1712646,345.4554052
5/17/1934 5:27,1,159.9601429,380.1934402,148.9768869,380.7298492
5/10/1934 19:22,4,146.4563338,367.817888,159.0384171,368.7425487
3/28/1934 21:12,5,149.464821,317.9974999,136.451283,314.5955666
1/28/1934 1:56,2,149.034229,307.3928365,106.4772918,327.4290769
6/13/1934 14:58,2,136.523919,300.6018449,140.0334921,284.5417506
5/23/1934 3:16,1,161.6093018,339.0072905,116.2506966,379.2624521
3/24/1934 12:29,1,161.7786399,331.9164162,132.7566729,283.0280145
2/25/1934 15:18,3,170.1771473,324.9936984,153.8654083,344.7251513
1/13/1934 1:26,1,153.9757105,378.8326903,154.606256,314.2535141
3/4/1934 10:23,1,162.9449374,377.4808329,156.3230004,373.2966611
1/22/1934 15:53,1,144.7719177,285.3397457,144.8302143,327.0753105
4/25/1934 17:39,1,152.8333117,356.1152764,154.4537688,341.5771303
5/7/1934 0:43,1,159.336376,346.3317894,148.1663245,358.3110053
3/20/1934 3:08,1,143.8078593,334.3898489,51.64325119,325.0713208
4/14/1934 18:10,1,139.4759737,314.7833218,146.3237428,307.5995237
4/18/1934 10:01,1,153.2131821,334.94355,152.7878611,342.6562406
5/30/1934 16:15,5,152.593262,362.4269396,175.4332485,363.2210626
3/31/1934 20:40,1,141.122695,334.7750048,155.3535029,376.2144552
3/4/1934 9:19,1,170.5908545,366.4466042,160.8231318,368.6664211
2/19/1934 0:02,2,139.5235788,309.5477818,156.4389447,311.2672478
3/11/1934 13:15,1,132.3180914,303.25382,173.3522124,354.9220374
5/3/1934 9:40,1,136.5763651,288.011127,154.0154459,335.8888524
1/15/1934 10:25,1,151.1833276,338.4357288,150.8644418,326.7506997
6/19/1934 10:43,1,150.4031294,352.7997746,151.780455,360.6541063
7/4/1934 14:05,6,147.6790226,321.4996525,145.1741528,372.9054389
4/21/1934 22:06,1,153.9381426,352.6580378,153.8901653,369.8272176
4/30/1934 16:59,1,147.6469439,325.9905109,149.4028804,335.5083582
